path,label
/lustre/groups/labs/marr/qscd01/datasets/Acevedo_20/PBC_divided/NEUTROPHIL/NEUTROPHIL_369264.jpg,Neutrophil
/lustre/groups/labs/marr/qscd01/datasets/Acevedo_20/PBC_divided/NEUTROPHIL/NEUTROPHIL_150696.jpg,Neutrophil
/lustre/groups/labs/marr/qscd01/datasets/Acevedo_20/PBC_divided/NEUTROPHIL/NEUTROPHIL_971896.jpg,Neutrophil
/lustre/groups/labs/marr/qscd01/datasets/Acevedo_20/PBC_divided/NEUTROPHIL/NEUTROPHIL_408557.jpg,Neutrophil
/lustre/groups/labs/marr/qscd01/datasets/Acevedo_20/PBC_divided/NEUTROPHIL/NEUTROPHIL_680394.jpg,Neutrophil
/lustre/groups/labs/marr/qscd01/datasets/Acevedo_20/PBC_divided/NEUTROPHIL/NEUTROPHIL_632329.jpg,Neutrophil
/lustre/groups/labs/marr/qscd01/datasets/Acevedo_20/PBC_divided/NEUTROPHIL/NEUTROPHIL_615770.jpg,Neutrophil
/lustre/groups/labs/marr/qscd01/datasets/Acevedo_20/PBC_divided/NEUTROPHIL/NEUTROPHIL_409124.jpg,Neutrophil
/lustre/groups/labs/marr/qscd01/datasets/Acevedo_20/PBC_divided/NEUTROPHIL/NEUTROPHIL_501624.jpg,Neutrophil
/lustre/groups/labs/marr/qscd01/datasets/Acevedo_20/PBC_divided/NEUTROPHIL/NEUTROPHIL_507371.jpg,Neutrophil
/lustre/groups/labs/marr/qscd01/datasets/Acevedo_20/PBC_divided/NEUTROPHIL/NEUTROPHIL_236240.jpg,Neutrophil
/lustre/groups/labs/marr/qscd01/datasets/Acevedo_20/PBC_divided/NEUTROPHIL/NEUTROPHIL_758129.jpg,Neutrophil
/lustre/groups/labs/marr/qscd01/datasets/Acevedo_20/PBC_divided/NEUTROPHIL/NEUTROPHIL_108931.jpg,Neutrophil
/lustre/groups/labs/marr/qscd01/datasets/Acevedo_20/PBC_divided/NEUTROPHIL/NEUTROPHIL_540543.jpg,Neutrophil
/lustre/groups/labs/marr/qscd01/datasets/Acevedo_20/PBC_divided/NEUTROPHIL/NEUTROPHIL_35735.jpg,Neutrophil
/lustre/groups/labs/marr/qscd01/datasets/Acevedo_20/PBC_divided/NEUTROPHIL/NEUTROPHIL_283327.jpg,Neutrophil
/lustre/groups/labs/marr/qscd01/datasets/Acevedo_20/PBC_divided/NEUTROPHIL/NEUTROPHIL_620442.jpg,Neutrophil
/lustre/groups/labs/marr/qscd01/datasets/Acevedo_20/PBC_divided/NEUTROPHIL/NEUTROPHIL_330663.jpg,Neutrophil
/lustre/groups/labs/marr/qscd01/datasets/Acevedo_20/PBC_divided/NEUTROPHIL/NEUTROPHIL_19429.jpg,Neutrophil
/lustre/groups/labs/marr/qscd01/datasets/Acevedo_20/PBC_divided/NEUTROPHIL/NEUTROPHIL_816359.jpg,Neutrophil
